id,title,authors,publisher,publishedDate,categories,price,pages
0mt9NdDSmYYC,Immigration Services,['United States. General Accounting Office'],,1990,['Emigration and immigration'],207.5*,665
gpBKAQAAMAAJ,"Report of the Committee on Energy and Natural Resources to the Committee on the Budget, United States Senate, Pursuant to Section 301(c) of the Congressional Budget and Impoundment Control Act of 1974",['United States. Congress. Senate. Committee on Energy and Natural Resources'],,1978,['United States'],157.0,467
yai7kyQfq1gC,Defense health care triservice strategy needed to justify medical resources for readiness and peacetime care : report to congressional requesters.,,DIANE Publishing,,,USD339.5,667
b4wIAAAAQAAJ,Report on the Trade and Resources of the Central Provinces,,,1878,['Central Provinces (India)'],336.0,574
YoLor8-zRDEC,The Resources and Attractions of Utah,['Union Pacific Railroad Company'],,1888,['Utah'],550.0,798
DhbHyWW4BZcC,Earth Resources,,,1989,['Astronautics in earth sciences'],626.99,866
P2FYAAAAMAAJ,Water Resources Data,,,1982,['Stream measurements'],117.0,494
72iwAAAAIAAJ,Directory of Japanese Technical Resources in the United States,,,1995,['Science'],707.99,1154
B7JZ3D7WU80C,Organizational Success Through Effective Human Resources Management,['Ronald R. Sims'],Greenwood Publishing Group,2002,['Business & Economics'], 384.5,662
_fjaJ6XXAAQC,"Traditional use of plant resources by bankariya ethnic group in Makawanpur district, central Nepal","['Y. Uprety', 'Emmanuel Boon', 'R.C. Poudel']",GRIN Verlag,2008-05-14,['Nature'],344.5,652
2k0jAAAAMAAJ,Water Resources Paper,['Canada. Water resources division'],,1921,['Water-supply'],398.99,550
teQaAQAAMAAJ,Directory of Northern Library Resources,,,1965,['Libraries'],100.99,372
iAzrAAAAIAAJ,Biennial Report of the Department of Water Resources,['Nebraska. Dept. of Water Resources'],,1984,['Water resources development'],365.0,500
IAHVobTrv7cC,Water Resources Paper,,,1952,['Water resources development'],258.5,582
nndUAAAAMAAJ,Planning Our Resources,['United States. National Resources Committee'],,1938,['Natural resources'],364.99,752
1IhDAQAAIAAJ,Natural Resources Law Newsletter,,,1980,['Environmental law'],31.0,442
BhQSAQAAMAAJ,Annual Resources Report,,,1995,['Mines and mineral resources'],253.99,424
CW-7tHAaVR0C,Geostatistics for Natural Resources Evaluation,"['Pierre Goovaerts', 'Department of Civil and Environmental Engineering Pierre Goovaerts']",Oxford University Press on Demand,1997,['Science'],414.5,561
h9QcAQAAMAAJ,"Industrial Resources, Kentucky: Radcliff & Vine Grove",,,1974,['Kentucky'],315.99,504^
ck-32n6REQgC,The John H. Chafee Coastal Barrier Resources System,"['United States. Congress. House. Committee on Resources. Subcommittee on Fisheries Conservation, Wildlife, and Oceans', 'United States']",,2004,['Barrier islands'],154.99,442
WXssAAAAYAAJ,Reports Submitted to the Council on Library Resources,"['Bolt, Beranek, and Newman, inc']",,1963,['Information storage and retrieval systems'],390.99,614
W58mAQAAIAAJ,Political and Commercial Control of the Mineral Resources of the World,['United States. Dept. of the Interior'],,1918,,153.0,503
frzDCQAAQBAJ,Water Resources Management IV,"['C.A. Brebbia', 'A. Kungolos']",WIT Press,2007-05-08,['Nature'],563.5,780
mQTxAAAAMAAJ,"Department Publications - State of California, Dept. of Water Resources",['California. Dept. of Water Resources'],,1995,['Hydrology'],216.5|,748
lMkmAQAAMAAJ,Technical Report - South Carolina Marine Resources Division,['South Carolina. Marine Resources Division'],,1979,['Marine resources'],11.5,236
jPs8AAAAYAAJ,Water Resources Activities in the United States,['U.S. Congress. Senate. Select Committee on National Water Resources'],,1960,['Water resources development'],94.5,544
